alma_id,alma_name,alma_voltage_kv,official_station,official_station_id,distance_km,name_similarity,match_status,interpretation_limit
310.0,MALAVER,132,RODRIGUEZ,RD,34.62,0.125,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
338.0,MUNRO,132,RODRIGUEZ,RD,37.465,0.286,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
5035.0,TECNOPOLIS,132,RODRIGUEZ,RD,38.317,0.105,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
130.0,COGHLAN,132,RODRIGUEZ,RD,40.907,0.25,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
327.0,MIGUELETES,132,RODRIGUEZ,RD,37.402,0.421,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
9.0,AGRONOMÍA,132,RODRIGUEZ,RD,40.763,0.333,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
124.0,CIUDADELA ,132,EZEIZA,EZ,35.95,0.267,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
504.0,S. RITA,132,EZEIZA,EZ,40.008,0.333,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
2773.0,URQUIZA,132,RODRIGUEZ,RD,41.415,0.25,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
623.0,AUSTRIA,132,EZEIZA,EZ,46.409,0.154,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
2613.0,SUAREZ,132,RODRIGUEZ,RD,33.354,0.4,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
559.0,V. ADELINA,132,RODRIGUEZ,RD,35.578,0.222,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
131.0,COLEGIALES,132,RODRIGUEZ,RD,44.996,0.211,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
226.0,GÜEMES,132,EZEIZA,EZ,45.939,0.333,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
325.0,MELO ,132,RODRIGUEZ,RD,23.087,0.154,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
1154.0,VIDAL,132,RODRIGUEZ,RD,43.309,0.143,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
4133.0,SAAVEDRA,132,RODRIGUEZ,RD,41.813,0.235,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
421.0,PUERTO NUEVO,132,ABASTO,AB,47.73,0.222,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
336.0,MORON,132,RODRIGUEZ,RD,24.927,0.286,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
93.0,CASEROS,132,RODRIGUEZ,RD,34.717,0.25,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
96.0,CASTELAR,132,RODRIGUEZ,RD,30.889,0.118,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
5496.0,ARA SAN JUAN,132,RODRIGUEZ,RD,21.395,0.19,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
346.0,NOGUES,132,RODRIGUEZ,RD,18.994,0.533,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
5003.0,JOSE C PAZ,132,RODRIGUEZ,RD,12.796,0.316,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
431.0,R. MEJÍA,132,EZEIZA,EZ,33.799,0.462,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
630.0,SEVEL,132,RODRIGUEZ,RD,32.846,0.143,NO_CONFIDENT_MATCH,"Control de identidad; no valida potencia, limitaciones ni estado operativo"
