country,year,electricity_generation,renewables_electricity,renewables_share_elec,low_carbon_share_elec,wind_share_elec,solar_share_elec,hydro_share_elec,upstream_commit,retrieved,hydro_electricity_twh,wind_electricity_twh,solar_electricity_twh,other_renewables_electricity_twh,nuclear_electricity_twh,fossil_electricity_twh,fossil_share_elec,demand_or_offer_twh,net_imports_twh,demand_offer_and_exchange_status,derived_components_note,series_role,country_es,rounding_residual_twh,rounding_residual_definition,structural_zero_rule
Argentina,2018,146.780000000000,35.220000000000,23.995000000000,28.676000000000,0.961000000000,0.075000000000,21.992000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,32.279857600000,1.410555800000,0.110085000000,1.419501600000,6.870632800000,104.689367200000,71.324000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Argentina,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Argentina,2019,139.530000000000,34.780000000000,24.927000000000,30.975000000000,3.583000000000,0.573000000000,19.709000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,27.499967700000,4.999359900000,0.799506900000,1.481165500000,8.439417500000,96.310582500000,69.025000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Argentina,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Argentina,2020,144.640000000000,36.620000000000,25.318000000000,32.239000000000,6.506000000000,0.926000000000,16.365000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,23.670336000000,9.410278400000,1.339366400000,2.200019200000,10.010489600000,98.009510400000,67.761000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Argentina,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Argentina,2021,153.150000000000,37.040000000000,24.185000000000,30.826000000000,8.449000000000,1.437000000000,12.831000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,19.650676500000,12.939643500000,2.200765500000,2.248914500000,10.170019000000,105.939981000000,69.174000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Argentina,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Argentina,2022,145.610000000000,42.270000000000,29.030000000000,34.160000000000,9.725000000000,2.019000000000,15.638000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,22.770491800000,14.160572500000,2.939865900000,2.399069800000,7.470376000000,95.869624000000,65.840000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Argentina,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Argentina,2023,148.560000000000,51.650000000000,34.767000000000,40.798000000000,9.747000000000,2.208000000000,21.197000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,31.490263200000,14.480143200000,3.280204800000,2.399388800000,8.959508800000,87.950491200000,59.202000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Argentina,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Argentina,2024,152.510000000000,52.440000000000,34.385000000000,41.237000000000,10.603000000000,2.603000000000,19.454000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,29.669295400000,16.170635300000,3.969835300000,2.630234000000,10.450548700000,89.619451300000,58.763000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Argentina,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Argentina,2025,153.150000000000,52.960000000000,34.580000000000,41.606000000000,12.158000000000,3.356000000000,17.140000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,26.249910000000,18.619977000000,5.139714000000,2.950399000000,10.759589000000,89.430411000000,58.394000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Argentina,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Brazil,2018,601.390000000000,495.290000000000,82.358000000000,84.963000000000,8.061000000000,0.575000000000,64.678000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,388.967024200000,48.478047900000,3.457992500000,54.386935400000,15.668985700000,90.431014300000,15.037000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Brasil,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Brazil,2019,633.330000000000,515.440000000000,81.386000000000,83.933000000000,8.841000000000,1.050000000000,62.823000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,397.876905900000,55.992705300000,6.649965000000,54.920423800000,16.132868900000,101.757131100000,16.067000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Brasil,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Brazil,2020,628.760000000000,522.920000000000,83.167000000000,85.401000000000,9.073000000000,1.710000000000,63.042000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,396.382879200000,57.047394800000,10.751796000000,58.737930000000,14.047327600000,91.792672400000,14.599000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Brasil,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Brazil,2021,656.400000000000,507.870000000000,77.372000000000,79.612000000000,11.013000000000,2.552000000000,55.274000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,362.818536000000,72.289332000000,16.751328000000,56.010804000000,14.703168000000,133.826832000000,20.388000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Brasil,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Brazil,2022,677.160000000000,593.890000000000,87.703000000000,89.853000000000,12.055000000000,4.449000000000,63.074000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,427.111898400000,81.631638000000,30.126848400000,55.019615200000,14.558574800000,68.711425200000,10.147000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Brasil,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
Brazil,2023,708.120000000000,630.190000000000,88.995000000000,91.042000000000,13.529000000000,7.150000000000,60.159000000000,7e387a16f70a510e433f8aac7efeac6faa1e5059,2026-08-10,425.997910800000,95.801554800000,50.630580000000,57.759954400000,14.496610400000,63.433389600000,8.958000000000,,,no armonizados en el extracto común; sólo endpoints oficiales cuando están disponibles,TWh por fuente derivados de generación total × participación; otras renovables y nuclear son cierres algebraicos de la frontera OWID/Ember,harmonized secondary trajectory; not official national frontier,Brasil,0.000000000000,signed algebraic closure from rounded published shares; not a physical source,COUNTRY_PHYSICAL_SERIES_RETAINED
